Province,Total Population,Youth Population (15–34),Working Age,Male,Female
text,1,,,,
Gauteng,15099422,5200000,8900000,7400000,7699422
Gauteng,3800000,1400000,2100000,1850000,1950000
Western Cape,7000000,2400000,3900000,3400000,3600000
Western Cape,450000,160000,250000,220000,230000
KwaZulu-Natal,11200000,4200000,6100000,5500000,5700000
KwaZulu-Natal,600000,200000,320000,290000,310000
Eastern Cape,1600000,500000,900000,780000,820000
Eastern Cape,800000,260000,430000,390000,410000
Limpopo,1400000,480000,750000,690000,710000
Limpopo,700000,230000,370000,340000,360000
Mpumalanga,1200000,410000,640000,590000,610000
Mpumalanga,900000,300000,500000,440000,460000
North West,900000,310000,480000,440000,460000
North West,550000,180000,300000,270000,280000
Free State,800000,270000,420000,390000,410000
Free State,400000,130000,220000,195000,205000
Northern Cape,300000,100000,160000,145000,155000
Northern Cape,200000,70000,110000,98000,102000
